building_id,tenant_id,country_code,month,year,rental_amount,currency
B001,T0001,US,1,2015,6361.59,USD
B001,T0001,US,2,2015,6370.32,USD
B001,T0001,US,3,2015,6413.9,USD
B001,T0001,US,4,2015,6451.46,USD
B001,T0001,US,5,2015,6643.04,USD
B001,T0001,US,6,2015,6502.32,USD
B001,T0001,US,7,2015,6435.19,USD
B001,T0001,US,8,2015,6571.3,USD
B001,T0001,US,9,2015,6662.1,USD
B001,T0001,US,10,2015,6574.05,USD
B001,T0001,US,11,2015,6587.79,USD
B001,T0001,US,12,2015,6700.35,USD
B001,T0001,US,1,2016,6567.26,USD
B001,T0001,US,2,2016,6487.98,USD
B001,T0001,US,3,2016,6708.0,USD
B001,T0001,US,4,2016,6760.7,USD
B001,T0001,US,5,2016,6659.4,USD
B001,T0001,US,6,2016,6775.86,USD
B001,T0001,US,7,2016,6581.9,USD
B001,T0001,US,8,2016,6796.44,USD
B001,T0001,US,9,2016,6611.38,USD
B001,T0001,US,10,2016,6595.64,USD
B001,T0001,US,11,2016,6648.99,USD
B001,T0001,US,12,2016,6608.81,USD
B001,T0001,US,1,2017,6862.43,USD
B001,T0001,US,2,2017,6861.14,USD
B001,T0001,US,3,2017,6801.82,USD
B001,T0001,US,4,2017,6665.29,USD
B001,T0001,US,5,2017,6683.91,USD
B001,T0001,US,6,2017,6735.68,USD
B001,T0001,US,7,2017,6935.5,USD
B001,T0001,US,8,2017,6834.5,USD
B001,T0001,US,9,2017,6751.45,USD
B001,T0001,US,10,2017,6864.39,USD
B001,T0001,US,11,2017,6727.4,USD
B001,T0001,US,12,2017,6780.93,USD
B001,T0001,US,1,2018,6837.35,USD
B001,T0001,US,2,2018,6771.32,USD
B001,T0001,US,3,2018,6950.99,USD
B001,T0001,US,4,2018,6862.04,USD
B001,T0001,US,5,2018,6789.57,USD
B001,T0001,US,6,2018,7023.8,USD
B001,T0001,US,7,2018,7007.71,USD
B001,T0001,US,8,2018,6938.58,USD
B001,T0001,US,9,2018,6954.71,USD
B001,T0001,US,10,2018,7023.92,USD
B001,T0001,US,11,2018,6886.8,USD
B001,T0001,US,12,2018,7118.34,USD
B001,T0001,US,1,2019,6943.76,USD
B001,T0001,US,2,2019,7121.14,USD
B001,T0001,US,3,2019,7086.71,USD
B001,T0001,US,4,2019,7128.68,USD
B001,T0001,US,5,2019,7102.55,USD
B001,T0001,US,6,2019,6986.45,USD
B001,T0001,US,7,2019,7136.08,USD
B001,T0001,US,8,2019,7015.4,USD
B001,T0001,US,9,2019,7156.86,USD
B001,T0001,US,10,2019,6967.53,USD
B001,T0001,US,11,2019,7219.49,USD
B001,T0001,US,12,2019,7189.95,USD
B001,T0001,US,1,2020,7251.32,USD
B001,T0001,US,2,2020,7177.5,USD
B001,T0001,US,3,2020,7221.2,USD
B001,T0001,US,4,2020,7016.06,USD
B001,T0001,US,5,2020,7097.63,USD
B001,T0001,US,6,2020,7049.62,USD
B001,T0001,US,7,2020,7304.01,USD
B001,T0001,US,8,2020,7248.36,USD
B001,T0001,US,9,2020,7284.4,USD
B001,T0001,US,10,2020,7247.58,USD
B001,T0001,US,11,2020,7212.04,USD
B001,T0001,US,12,2020,7164.22,USD
B001,T0001,US,1,2021,7152.15,USD
B001,T0001,US,2,2021,7232.04,USD
B001,T0001,US,3,2021,7219.41,USD
B001,T0001,US,4,2021,7163.81,USD
B001,T0001,US,5,2021,7216.1,USD
B001,T0001,US,6,2021,7240.46,USD
B001,T0001,US,7,2021,7253.8,USD
B001,T0001,US,8,2021,7459.49,USD
B001,T0001,US,9,2021,7234.52,USD
B001,T0001,US,10,2021,7264.05,USD
B001,T0001,US,11,2021,7306.0,USD
B001,T0001,US,12,2021,7363.23,USD
B001,T0001,US,1,2022,7389.94,USD
B001,T0001,US,2,2022,7541.07,USD
B001,T0001,US,3,2022,7351.24,USD
B001,T0001,US,4,2022,7350.24,USD
B001,T0001,US,5,2022,7323.32,USD
B001,T0001,US,6,2022,7448.92,USD
B001,T0001,US,7,2022,7372.07,USD
B001,T0001,US,8,2022,7486.44,USD
B001,T0001,US,9,2022,7388.05,USD
B001,T0001,US,10,2022,7351.33,USD
B001,T0001,US,11,2022,7535.9,USD
B001,T0001,US,12,2022,7498.23,USD
B001,T0001,US,1,2023,7525.49,USD
B001,T0001,US,2,2023,7588.81,USD
B001,T0001,US,3,2023,7419.68,USD
B001,T0001,US,4,2023,7497.44,USD
B001,T0001,US,5,2023,7679.63,USD
B001,T0001,US,6,2023,7437.09,USD
B001,T0001,US,7,2023,7635.21,USD
B001,T0001,US,8,2023,7446.96,USD
B001,T0001,US,9,2023,7730.58,USD
B001,T0001,US,10,2023,7459.75,USD
B001,T0001,US,11,2023,7616.45,USD
B001,T0001,US,12,2023,7776.49,USD
B001,T0001,US,1,2024,7627.52,USD
B001,T0001,US,2,2024,7583.0,USD
B001,T0001,US,3,2024,7641.09,USD
B001,T0001,US,4,2024,7636.98,USD
B001,T0001,US,5,2024,7597.98,USD
B001,T0001,US,6,2024,7770.14,USD
B001,T0001,US,7,2024,7733.85,USD
B001,T0001,US,8,2024,7701.01,USD
B001,T0001,US,9,2024,7644.21,USD
B001,T0001,US,10,2024,7798.09,USD
B001,T0001,US,11,2024,7646.91,USD
B001,T0001,US,12,2024,7747.84,USD
B001,T0002,US,1,2015,5238.99,USD
B001,T0002,US,2,2015,5303.43,USD
B001,T0002,US,3,2015,5368.36,USD
B001,T0002,US,4,2015,5228.27,USD
B001,T0002,US,5,2015,5227.79,USD
B001,T0002,US,6,2015,5349.35,USD
B001,T0002,US,7,2015,5407.57,USD
B001,T0002,US,8,2015,5390.05,USD
B001,T0002,US,9,2015,5306.87,USD
B001,T0002,US,10,2015,5448.74,USD
B001,T0002,US,11,2015,5415.42,USD
B001,T0002,US,12,2015,5310.84,USD
B001,T0002,US,1,2016,5350.6,USD
B001,T0002,US,2,2016,5378.38,USD
B001,T0002,US,3,2016,5482.55,USD
B001,T0002,US,4,2016,5452.73,USD
B001,T0002,US,5,2016,5321.3,USD
B001,T0002,US,6,2016,5465.86,USD
B001,T0002,US,7,2016,5542.16,USD
B001,T0002,US,8,2016,5532.33,USD
B001,T0002,US,9,2016,5417.51,USD
B001,T0002,US,10,2016,5403.39,USD
B001,T0002,US,11,2016,5389.88,USD
B001,T0002,US,12,2016,5408.12,USD
B001,T0002,US,1,2017,5450.26,USD
B001,T0002,US,2,2017,5462.99,USD
B001,T0002,US,3,2017,5464.45,USD
B001,T0002,US,4,2017,5420.8,USD
B001,T0002,US,5,2017,5451.32,USD
B001,T0002,US,6,2017,5542.45,USD
B001,T0002,US,7,2017,5457.48,USD
B001,T0002,US,8,2017,5647.58,USD
B001,T0002,US,9,2017,5480.92,USD
B001,T0002,US,10,2017,5534.96,USD
B001,T0002,US,11,2017,5665.79,USD
B001,T0002,US,12,2017,5523.7,USD
B001,T0002,US,1,2018,5539.12,USD
B001,T0002,US,2,2018,5498.77,USD
B001,T0002,US,3,2018,5706.59,USD
B001,T0002,US,4,2018,5686.29,USD
B001,T0002,US,5,2018,5616.98,USD
B001,T0002,US,6,2018,5565.81,USD
B001,T0002,US,7,2018,5587.43,USD
B001,T0002,US,8,2018,5601.34,USD
B001,T0002,US,9,2018,5758.91,USD
